Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"May 17, 2023 09:00:02 PM",142.5125,3,1,2,"May 27, 2023 11:58:32 AM",false,
Tuhfa Reading,893 556 039,"May 10, 2023 08:58:59 PM",157.6185,2,0,5,"May 20, 2023 06:51:32 PM",false,
Tuhfa Reading,893 556 039,"May 3, 2023 09:01:03 PM",123.2632,2,1,2,"May 20, 2023 06:52:59 PM",false,
Tuhfa Reading,893 556 039,"Apr 26, 2023 08:59:48 PM",138.9851,2,0,1,"May 18, 2023 08:45:37 AM",false,
Tuhfa Reading,893 556 039,"Apr 13, 2023 05:58:41 AM",167.3685,2,0,1,"May 18, 2023 08:45:34 AM",false,
Tuhfa Reading,893 556 039,"Apr 6, 2023 05:59:25 AM",155.1583,2,1,4,"Apr 12, 2023 12:14:53 AM",false,
Tuhfa Reading,893 556 039,"Mar 30, 2023 06:00:54 AM",142.5648,2,3,6,"Apr 9, 2023 11:06:38 AM",false,
Tuhfa Reading,893 556 039,"Mar 23, 2023 06:01:39 AM",111.1814,2,1,6,"Apr 9, 2023 11:06:40 AM",false,
Tuhfa Reading,893 556 039,"Mar 15, 2023 09:01:34 PM",140.5935,2,0,7,"Apr 9, 2023 11:06:42 AM",false,
Tuhfa Reading,893 556 039,"Mar 8, 2023 05:37:55 PM",0.2462,2,0,3,"Apr 9, 2023 11:06:43 AM",false,
Tuhfa Reading,893 556 039,"Feb 22, 2023 08:02:53 PM",147.0576,3,0,5,"Apr 9, 2023 11:06:45 AM",false,
Tuhfa Reading,893 556 039,"Feb 15, 2023 07:59:49 PM",141.1043,2,0,5,"Apr 9, 2023 11:06:46 AM",false,
Tuhfa Reading,893 556 039,"Feb 8, 2023 08:00:25 PM",121.6912,2,0,5,"Apr 9, 2023 11:06:47 AM",false,
Tuhfa Reading,893 556 039,"Jan 31, 2023 08:00:08 PM",202.3302,3,0,7,"Apr 9, 2023 11:06:50 AM",false,
Tuhfa Reading,893 556 039,"Jan 25, 2023 08:00:21 PM",189.4408,2,0,6,"Apr 9, 2023 11:06:52 AM",false,
Tuhfa Reading,893 556 039,"Jan 22, 2023 08:44:21 AM",0.1711,2,0,5,"Apr 9, 2023 11:06:53 AM",false,
Tuhfa Reading,893 556 039,"Jan 18, 2023 08:01:02 PM",172.6654,3,0,6,"Apr 9, 2023 11:06:59 AM",false,
Tuhfa Reading,893 556 039,"Jan 11, 2023 08:01:20 PM",215.4274,2,2,5,"Apr 9, 2023 11:07:00 AM",false,
Tuhfa Reading,893 556 039,"Jan 4, 2023 07:58:09 PM",177.7310,3,0,6,"Apr 9, 2023 11:07:03 AM",false,
Tuhfa Reading,893 556 039,"Nov 16, 2022 06:58:23 PM",195.3132,2,0,6,"Apr 9, 2023 11:07:07 AM",false,
Tuhfa Reading,893 556 039,"Nov 9, 2022 07:00:11 PM",176.7727,2,0,5,"Apr 9, 2023 11:06:05 AM",false,
Tuhfa Reading,893 556 039,"Nov 2, 2022 08:01:20 PM",109.0263,2,0,4,"Apr 9, 2023 11:06:06 AM",false,
Tuhfa Reading,893 556 039,"Oct 26, 2022 08:00:02 PM",224.0540,2,0,6,"Apr 9, 2023 11:06:07 AM",false,
Tuhfa Reading,893 556 039,"Oct 19, 2022 07:58:28 PM",126.0936,2,0,4,"Apr 9, 2023 11:06:10 AM",false,
Tuhfa Reading,893 556 039,"Oct 5, 2022 08:02:05 PM",153.5912,2,0,5,"Apr 9, 2023 11:06:11 AM",false,
Tuhfa Reading,893 556 039,"Sep 21, 2022 08:00:44 PM",82.2481,2,0,6,"Apr 9, 2023 11:06:13 AM",false,
Tuhfa Reading,893 556 039,"Sep 14, 2022 08:00:36 PM",172.8046,2,0,4,"Apr 9, 2023 11:06:14 AM",false,
Tuhfa Reading,893 556 039,"Sep 7, 2022 07:58:57 PM",170.4933,3,0,4,"Apr 9, 2023 11:06:16 AM",false,
Tuhfa Reading,893 556 039,"Aug 31, 2022 07:57:03 PM",219.1599,3,0,5,"Apr 9, 2023 11:06:18 AM",false,
Tuhfa Reading,893 556 039,"Aug 24, 2022 08:01:06 PM",0.2919,2,0,2,"Apr 9, 2023 11:06:20 AM",false,
Tuhfa Reading,893 556 039,"Aug 17, 2022 08:00:15 PM",158.4099,3,8,4,"Apr 9, 2023 11:06:21 AM",false,
Tuhfa Reading,893 556 039,"Aug 10, 2022 08:00:59 PM",164.6110,2,1,4,"Apr 9, 2023 11:06:23 AM",false,
Tuhfa Reading,893 556 039,"Aug 3, 2022 08:00:57 PM",184.4958,2,0,5,"Apr 9, 2023 11:06:24 AM",false,
Tuhfa Reading,893 556 039,"Jul 27, 2022 08:00:52 PM",168.4497,2,0,4,"Apr 9, 2023 11:06:26 AM",false,
Tuhfa Reading,893 556 039,"Jul 20, 2022 08:00:59 PM",141.9993,2,0,4,"Apr 9, 2023 11:06:28 AM",false,
Tuhfa Reading,893 556 039,"Jul 13, 2022 08:01:42 PM",149.9749,2,2,4,"Apr 9, 2023 11:05:29 AM",false,
Tuhfa Reading,893 556 039,"Jun 29, 2022 08:02:18 PM",180.3720,2,0,6,"Apr 9, 2023 11:05:30 AM",false,
